"gsid","index_no","station","district","year","month","days","rainfall_sum"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","29","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","30","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","31","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","01","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","02","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","03","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","06","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","12","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","02","15","0"
